id;day_date;full_date;day_number;day_name;day_name_short;is_week_day;month_number;month_name;month_name_short;trimester_number;trimester_name;semester_number;semester_name;year
19960205;05/02/1996;segunda-feira, 5 de fevereiro de 1996;5;segunda-feira;seg;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960206;06/02/1996;terça-feira, 6 de fevereiro de 1996;6;terça-feira;ter;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960207;07/02/1996;quarta-feira, 7 de fevereiro de 1996;7;quarta-feira;qua;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960208;08/02/1996;quinta-feira, 8 de fevereiro de 1996;8;quinta-feira;qui;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960209;09/02/1996;sexta-feira, 9 de fevereiro de 1996;9;sexta-feira;sex;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960210;10/02/1996;sábado, 10 de fevereiro de 1996;10;sábado;sab;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960211;11/02/1996;domingo, 11 de fevereiro de 1996;11;domingo;dom;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960212;12/02/1996;segunda-feira, 12 de fevereiro de 1996;12;segunda-feira;seg;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960213;13/02/1996;terça-feira, 13 de fevereiro de 1996;13;terça-feira;ter;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960214;14/02/1996;quarta-feira, 14 de fevereiro de 1996;14;quarta-feira;qua;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960215;15/02/1996;quinta-feira, 15 de fevereiro de 1996;15;quinta-feira;qui;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960216;16/02/1996;sexta-feira, 16 de fevereiro de 1996;16;sexta-feira;sex;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960217;17/02/1996;sábado, 17 de fevereiro de 1996;17;sábado;sab;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960218;18/02/1996;domingo, 18 de fevereiro de 1996;18;domingo;dom;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960219;19/02/1996;segunda-feira, 19 de fevereiro de 1996;19;segunda-feira;seg;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960220;20/02/1996;terça-feira, 20 de fevereiro de 1996;20;terça-feira;ter;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960221;21/02/1996;quarta-feira, 21 de fevereiro de 1996;21;quarta-feira;qua;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960222;22/02/1996;quinta-feira, 22 de fevereiro de 1996;22;quinta-feira;qui;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960223;23/02/1996;sexta-feira, 23 de fevereiro de 1996;23;sexta-feira;sex;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960224;24/02/1996;sábado, 24 de fevereiro de 1996;24;sábado;sab;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960225;25/02/1996;domingo, 25 de fevereiro de 1996;25;domingo;dom;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960226;26/02/1996;segunda-feira, 26 de fevereiro de 1996;26;segunda-feira;seg;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960227;27/02/1996;terça-feira, 27 de fevereiro de 1996;27;terça-feira;ter;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960228;28/02/1996;quarta-feira, 28 de fevereiro de 1996;28;quarta-feira;qua;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960229;29/02/1996;quinta-feira, 29 de fevereiro de 1996;29;quinta-feira;qui;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960301;01/03/1996;sexta-feira, 1 de março de 1996;1;sexta-feira;sex;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960302;02/03/1996;sábado, 2 de março de 1996;2;sábado;sab;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960303;03/03/1996;domingo, 3 de março de 1996;3;domingo;dom;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960304;04/03/1996;segunda-feira, 4 de março de 1996;4;segunda-feira;seg;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960305;05/03/1996;terça-feira, 5 de março de 1996;5;terça-feira;ter;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960306;06/03/1996;quarta-feira, 6 de março de 1996;6;quarta-feira;qua;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960307;07/03/1996;quinta-feira, 7 de março de 1996;7;quinta-feira;qui;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960308;08/03/1996;sexta-feira, 8 de março de 1996;8;sexta-feira;sex;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960309;09/03/1996;sábado, 9 de março de 1996;9;sábado;sab;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960310;10/03/1996;domingo, 10 de março de 1996;10;domingo;dom;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960311;11/03/1996;segunda-feira, 11 de março de 1996;11;segunda-feira;seg;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960312;12/03/1996;terça-feira, 12 de março de 1996;12;terça-feira;ter;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960313;13/03/1996;quarta-feira, 13 de março de 1996;13;quarta-feira;qua;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960314;14/03/1996;quinta-feira, 14 de março de 1996;14;quinta-feira;qui;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960315;15/03/1996;sexta-feira, 15 de março de 1996;15;sexta-feira;sex;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960316;16/03/1996;sábado, 16 de março de 1996;16;sábado;sab;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960317;17/03/1996;domingo, 17 de março de 1996;17;domingo;dom;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960318;18/03/1996;segunda-feira, 18 de março de 1996;18;segunda-feira;seg;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960319;19/03/1996;terça-feira, 19 de março de 1996;19;terça-feira;ter;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960320;20/03/1996;quarta-feira, 20 de março de 1996;20;quarta-feira;qua;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960321;21/03/1996;quinta-feira, 21 de março de 1996;21;quinta-feira;qui;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960322;22/03/1996;sexta-feira, 22 de março de 1996;22;sexta-feira;sex;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960323;23/03/1996;sábado, 23 de março de 1996;23;sábado;sab;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960324;24/03/1996;domingo, 24 de março de 1996;24;domingo;dom;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960325;25/03/1996;segunda-feira, 25 de março de 1996;25;segunda-feira;seg;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960326;26/03/1996;terça-feira, 26 de março de 1996;26;terça-feira;ter;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960327;27/03/1996;quarta-feira, 27 de março de 1996;27;quarta-feira;qua;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960328;28/03/1996;quinta-feira, 28 de março de 1996;28;quinta-feira;qui;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960329;29/03/1996;sexta-feira, 29 de março de 1996;29;sexta-feira;sex;sim;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960330;30/03/1996;sábado, 30 de março de 1996;30;sábado;sab;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960331;31/03/1996;domingo, 31 de março de 1996;31;domingo;dom;não;3;março;mar;1;1º Trimestre;1;1º Semestre;1996
19960401;01/04/1996;segunda-feira, 1 de abril de 1996;1;segunda-feira;seg;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960402;02/04/1996;terça-feira, 2 de abril de 1996;2;terça-feira;ter;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960403;03/04/1996;quarta-feira, 3 de abril de 1996;3;quarta-feira;qua;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960404;04/04/1996;quinta-feira, 4 de abril de 1996;4;quinta-feira;qui;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
